Query	Closest-1	Closest-2	Closest-3
In the stock market, what does it mean when someone says break even on the balance?	Which US cities have/had a notable hip hop music scene?	Which is correct? "You are coming today, Is it?" or "You are coming today, are you?"	How do heavy duty cranes lift such massive loads?
What is the appropriate response when someone says they're proud of you?	What are the most commonly used SQL queries and how does one write them?	How do I solve this for x: |x+3|>|2x-1|?	How do I solve this for x: |x+3|>|2x-1|?
How communist parties in India again come back to power?	How communist parties in India again come back to power?	Does warming up food in a microwave destroy the nutrients?	Does warming up food in a microwave destroy the nutrients?
Can illegal immigrants vote in presidential election?	Can illegal immigrants vote in presidential election?	How can illegal immigrants vote in presidential elections?	What should I do to stop thinking suicide?
Virali Modi: Is Virali Modi in a relationship?	Can the back seat of R15V2 can be adjusted to a lower height?	What is the best advice you can give to a 17-year-old girl?	What is the best advice you can give to a 17-year-old girl?
I'm a very emotional girl so, I always get hurt easily. How can I overcome this?	How can one wake up early in the morning?	How can one wake up early in the morning?	How can one wake up early in the morning?
Why is Pokémon GO more popular than other games?	What are some of the best ways to use an iTunes gift card?	Which is the best source to learn java programming?	What's an interesting secret you care to share anonymously?
What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alabama?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alabama?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alabama?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alabama?
Is the Helicam banned in Mumbai? Why?	Is throwing, running and climbing at preschool a behavioral problem?	How can I disable checkpoint in Endpoint Security firewall?	How can I disable checkpoint in Endpoint Security firewall?
Why does the guy I'm seeing text and then take hours and hours to answer back every time? Why bother texting me if it's over five hours everytime?	Why does the guy I'm seeing text and then take hours and hours to answer back every time? Why bother texting me if it's over five hours everytime?	Why does the guy I'm seeing text and then take hours and hours to answer back every time? Why bother texting me if it's over five hours everytime?	Will you be willing to make friends with a foreign student with poor English? What is the most important thing to you to make friends with her /him?
How do I get rid of a double chin?	How can you get rid of your double chin?	How do I get rid of a double chin?	How do you get rid of a double chin?
How do you make money off blogging?	How to make money with blogging?	How to make money with blogging?	How to make money with blogging?
The decision of Indian Government to demonetize ₹500 and ₹1000 notes? Is Right or wrong?	The decision of Indian Government to demonetize ₹500 and ₹1000 notes? Is Right or wrong?	The decision of Indian Government to demonetize ₹500 and ₹1000 notes? Is Right or wrong?	The decision of Indian Government to demonetize ₹500 and ₹1000 notes? Is Right or wrong?
If I block a person on iphone 6 and later unblock them, will I receive the messages that were sent to me while the sender was blocked?	If I block a person on iphone 6 and later unblock them, will I receive the messages that were sent to me while the sender was blocked?	If I block a person on iphone 6 and later unblock them, will I receive the messages that were sent to me while the sender was blocked?	If I block a person on iphone 6 and later unblock them, will I receive the messages that were sent to me while the sender was blocked?
How can I expand my IQ?	How can I expand my IQ?	How can I expand my IQ?	How can I expand my IQ?
How karna was killed?	What secret menu items can you get at Sonic?	Which is the best bank for a student in Nepal?	Who was Pharaoh when Moses lived in Egypt?
I'm 18. How can I make money online?	I'm 18. How can I make money online?	I'm 18. How can I make money online?	I'm 18. How can I make money online?
How do I prepare for ICAI campus placements for shortlisted companies?	Can we use helium balloons under water?	How did the Native Americans feel when Andrew Jackson moved them?	What is the best subversion client for Mac OS X?
Which foreign countries did Hitler visit before World War II as an ordinary civilian?	How does the current repo rate cut by RBI will affect the price of household commodities?	Why can't India have a national language Hindi? In no way I am taking a dig at local languages , just wanted views on why we shouldn't have a single official language for better communication.	In the show "New Girl", why did Jess have to stay away for a month in the "Jury Duty" episode?
What is the best site to learn how to code in java?	What is the best site to learn how to code in java?	What is the best site to learn how to code in java?	What is the silliest thing you've fought over with someone?
What are the best ways to prepare to be a contestant on Jeopardy?	Which fictional character do you identify most with?	What is the difference between a ballpoint pen and a gel pen?	What did you tell your children where babies come from?
Do employees at Wesco International have a good work-life balance? Does this differ across positions and departments?	What are the names of the specific executives at Marvel and Fox that are preventing X-Men & Fantastic Four characters from appearing in the Marvel Cinematic Universe?	What ingredients are needed and what is the brewing process to make a pilsner style beer and how does this compare to a stout style beer?	What universities does Home Properties recruit new grads from? What majors are they looking for?
What is crimping compression lugs and how it is useful?	Where can I buy cheap dry fruits in Hyderabad?	Why can't I find the Recycle Bin in my computer?	I want to try acting in Ad films in Bangalore. Where should I go?
What is the name commonly given to the political and social movement that swept Quebec Society in the beginning of the 1960s?	What is the name commonly given to the political and social movement that swept Quebec Society in the beginning of the 1960s?	What is the name commonly given to the political and social movement that swept Quebec Society in the beginning of the 1960s?	How do the red blood cells synthesize proteins without a DNA?
What is the basic to learn telekinesis?	What is that one movie you recommend me watching right now?	What is that one movie you recommend me watching right now?	How can one bring a person back to life?
Is time travel to 2010 possible?	Is time travel to 2010 possible?	Is time travel to 2010 possible?	Is time travel to 2010 possible?
Can we know when someone is looking at us while asleep?	Is ethics still relevant in the modern world?	Which is the best Soccer / football blog?	Which is the best Soccer / football blog?
If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?
Why am I afraid of cats?	Why are women disadvantaged?	Why are women disadvantaged?	Why are we afraid of failure?
What was Nelson Mandela's purpose?	Can I go outside with a new tattoo, without covering it?	Can I go outside with a new tattoo, without covering it?	What is the difference between C# and .NET?
What can money buy?	How can I get over the love of my life?	How do you get people to talk to you?	What do you know, that other people should know?
Why should one read books?	Why should one read books?	Why should one read books?	Why should one read books?
Can you will yourself out of not wanting certain things? Years ago I willed myself out a strong desire for children it took a long time but it worked.	Can I write exams in two different courses indifferent college and their time table not fight each other?	Can I write exams in two different courses indifferent college and their time table not fight each other?	Can I write exams in two different courses indifferent college and their time table not fight each other?
How many characters named 'The Flash' have appeared in DC Comic's history?	What music video has a girl with pink hair and a lip ring?	I am placed in Infosys. After that I had an arrear. Now I cleared the arrear. Will I be called for the job?	My Jee syllabus is almost Over and I have almost 4 months in my hand. Now what to do next to crack JEE adv?
What is your favorite thing about life?	What is your favorite thing about your life?	What is your favorite thing about life?	What is your favorite thing about your life?
What cultural value does the Asian elephant have in southern China nowadays, and how does this benefit their conservation?	What cultural value does the Asian elephant have in southern China nowadays, and how does this benefit their conservation?	What are all the benefits of holding a British Passport (regardless of wealth or of whether or not residency is currently in the UK)?	Is it racist to say n*gger if it's part of the lyrics of a song (usually sung by a black person)?
Why do facts not matter to some people?	How can I become a pornstar ?	Why would you vote for Donald Trump?	How does one become a programmer?
How could I be fluent in English?	How could I be fluent in English?	How could I be fluent in English?	How could I be fluent in English?
What is the one must watch anime that everyone should watch before they die, and why?	If there was one movie that you would suggest to a friend, which one would it be and why?	How can I earn unlimited Uber credits? What is the trick for that?	How can I earn unlimited Uber credits? What is the trick for that?
I just made $30 million dollars from selling a company. How do I start my own venture capital fund with this money?	Is it better to swim 15 min daily or 30 minutes every two days and why?	What are the top 30 most profitable (high gross margin) online B2C products/services?	If human population growth is gonna continue at high rates, is it better that the growth happens in developing countries or in developed countries?
What synonyms are there for the words eureka and aha moment?	Which state in Netherlands speaks pure Hindi?	Which state in Netherlands speaks pure Hindi?	How do you say 'I like you' in Japanese? How is it pronounced?
Why are English nouns not all capitalized?	What are the characteristics of Greek people?	What are the characteristics of Greek people?	How can I read english newspaper?
How can I get a British girlfriend while living in Toronto Canada?	What are the best cheap eats in the financial district (NYC)?	What are different structural systems frequently used in the Philippines?	Why is LGBT is more acceptable now, but not the same for bestiality?
Banks: How do I close an HDFC bank account?	Do women enjoy cock rings?	What is better, Lexus or BMW?	What is better, Lexus or BMW?
How does Quora decide which topics to suggest for a question?	How does Quora decide which topics to suggest for a question?	How does Quora decide which topics to suggest for a question?	How can Quora make money without any adds?
Why is prostitution illegal in India?	Why is prostitution illegal in India?	What do the Muslims and Jews think of the Prophet Joseph?	Do you think technology can disrupt the social development sector in India?
How can I sell my counterfeit money?	What happens in the brain of a sane person when they go insane?	When doing online dating, and someone asks "what are you looking for on this site", what's an appropriate answer?	When doing online dating, and someone asks "what are you looking for on this site", what's an appropriate answer?
How was/is it becoming/being a psychologist?	What are best shares to buy now?	How do I convince my parents for my love?	What is making love?
Does't hiring Debbie Wasserman -Shultz reward her interference with the primaries in favor of Clinton?	Does't hiring Debbie Wasserman -Shultz reward her interference with the primaries in favor of Clinton?	What is the oldest age a child should be allowed into a locker room with their parent of the opposite sex?	What is the best way to get to the MGM Grand from the Las Vegas airport without a car?
What is the best time of day to have sex?	What is the best time of day to have sex?	What is the best time of day to have sex?	How can I study more in short time?
How can I write a essay?	How do I write an essay?	How can we write a essay?	How can we write a essay?
Can Secret Service agents work for two different administration (Bush and Obama)?	Can Secret Service agents work for two different administration (Bush and Obama)?	What are the side effects of migraine medications?	How can I treat a swollen clitoris?
How can I see their last seen in spite of blocking them in watsapp?	How can I see their last seen in spite of blocking them in watsapp?	What is the difference between gross income and taxable income?	Is there a legal/legitimate way to watch the Mentalist online?
Is it possible to do SEO on a one page website?	Is it possible to do SEO on a one page website?	Is it possible to do SEO on a one page website?	How can one integrate Wilderness therapy into Hospice?
What are some odd or generally unknown facts about outer space?	Will Donald Trump end up in some conflict of interest problem?	Will Donald Trump end up in some conflict of interest problem?	Will Donald Trump end up in some conflict of interest problem?
What are the study strategies for mechanical engineering?	What is the one movie you watched that changed your life the most?	What is the one movie you watched that changed your life the most?	What is the one movie you watched that changed your life the most?
What is the equation for speed of light? How is it determined?	Why do some students who admitted to universities like Harvard, not enroll?	Will the Apple Watch work with Android devices?	Will the Apple Watch work with Android devices?
I want to improve my English?	I want to improve my English?	I want to improve my English?	I want to improve my English?
How do you keep a sunburn from peeling?	What clock speed should you aim for? Why?	What is modern synthetic theory of evolution?	What is modern synthetic theory of evolution?
Are Wade Wilson and Slade Wilson connected? In other words are Deadpool and Deathstroke connected?	What are possible causes for nausea, heartburn and diarrhea all occurring at the same time?	What are your biggest Twitter pet peeves?	Metals: What are the disadvantages of using Aluminium to make car bodies?
Why do I still feel stressed out even though I'm done with my exams?	What are the advantages/disadvantages of eating potatoes?	How is the work of assistant engineer in public service commission?	During glycolysis, a total of how many molecules of ATP are synthesized?
How do I sell a commercial car?	Which is the best cream for jock itch?	Which is the best cream for jock itch?	Is purple veins under tongue normal to have?
Will women ever stop using children as a pawn in child custody battles when dealing with a responsible and accountable man? What are your thoughts?	How should I manage time in English board exam? I am never able to manage time in English exams. As the paper is very lengthy.	My college has issued an erroneous marks list. Should I enter the same marks in my TCS Background Check documents, due to lack of time?	What legal action can an indian citizen take if he/she is not given leave for doing his/her FD of voting in the assembly election by a private firm?
How can a common, middle-class young Indian meet Prime Minister Narendra Modi?	How can a common, middle-class young Indian meet Prime Minister Narendra Modi?	How can a common, middle-class young Indian meet Prime Minister Narendra Modi?	How can a common, middle-class young Indian meet Prime Minister Narendra Modi?
What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Delaware?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Florida?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alaska?	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Alaska?
Why am I not able to add a person on a WhatsApp group after removing him from the group chat?	Why does one get addicted to a song for the rest of the day, if you hear it early in the morning, just after you've woken up?	How would you know if a lady was wearing a male's shirt? What is the difference between men and women's shirts?	My girlfriend lied to me about her virginity. She had sex with her ex. I love her and she loves me a lot, but it hurts me knowing that she lied. Should I ignore this?
What would happen to everything on earth if the earth started rotating on its side like Uranus?	What would happen to everything on earth if the earth started rotating on its side like Uranus?	Is it possible for a foreign citizen to join CIA or FBI?	What kind of things would change if the Earth spun on its side like Uranus?
Are Ouija boards fake or real?	Are Ouija boards fake or real?	Why do more men commit suicide than women?	How do 'free classified' websites make money?
What's the simplest way to infect someone's computer with a virus?	What is alveolar ventilation and pulmonary ventilation?	What are some hitherto unknown secrets about Facebook?	How is the SI unit for energy determined?
Should a 12 year old have sex?	Should a 12 year old have sex?	I'm going to fail my CPT December 2016. I'm attempting again in June 2017. What are the changes in the syllabus?	Which is the best smartphone under 13k?
What things should I learn if I've learned python?	How do test IQ level At home?	How do I get rid of hormonal acne?	Is there any way to watch Turkish TV Show with English subtitles?
What is the average salary of business development executive in India?	What are the working days of a post office in India?	Can cataracts affect younger people? What are the most common causes of it?	M p iti last exam cut off?
What's the best golf wedge for money?	How do I know if I truly love somebody?	Why do people cheat?	What is the best way to invest in real estate?
Which is the best gift for wife on Karva Chauth?	What Legal Procedure Are Required for start-up in india?	Is Barack Obama a good president?	Is Barack Obama a good president?
What is the equivalent Indian shoe size for the UK size 8?	What is the equivalent Indian shoe size for the UK size 8?	What is the equivalent Indian shoe size for the UK size 8?	What is the equivalent Indian shoe size for the UK size 8?
How do I start solar energy business?	How do I start a solar energy business?	How can I get a mentor in economics?	How can I learn pencil sketching by my own?
Was Voltaire an anti-semite?	What is the correct pronunciation of 'Alekhine' or Алекса́ндр Алекса́ндрович Але́хин?	What is the correct pronunciation of 'Alekhine' or Алекса́ндр Алекса́ндрович Але́хин?	How do I convert a CGPA to percentage in engineering with 8 semesters?
What are the ways to promote my website within short period?	What is an alternative way to log in to Facebook?	What is the next big thing in the energy sector?	What are the best ways to make money as a music producer?
How do I improve on my scientific reasoning skills?	What makes a person gritty?	What makes a gritty person?	How do you turn off screen overlay on a note 5?
How can I tell if a guy I am interested in is gay?	How can I tell if a guy I am interested in is gay?	How can I tell if a guy is gay and is interested in me?	How can I tell if a guy I am interested in is gay?
How does earth receive light from the sun, if space is a vacuum?	What is the best book for to learn the basic c for self?	How can I test my IQ level for free?	What is the difference between software engineering and web development?
What are some of the make out spots in Delhi?	How can we prevent rapes in Delhi?	How can we prevent rapes in Delhi?	What is the difference between a postal code and a PO Box?
What is the best book to learn about banking?	Does a picture really tells a thousand words?	Does a picture really tells a thousand words?	What are some ways to advertise a local business?
What are the best ways to lose weight?	What are the best ways to lose weight?	What are the best ways to lose weight?	What are the best ways to lose weight?
May vs. Might?	What is the smart home like in your mind?	What is it like to be an expert in something?	What is it like to be in a relationship with someone born rich?
Is there a income inequality in America or inequality of mindset, habits and belief system?	What's the best way to end a cover letter?	What's the best way to end a cover letter?	What's the best way to end a cover letter?
Why was President Obama so distant on the October 3rd Debate? Is this a fair statement?	Why did leftists love Wikileaks when Bush was in office, but now say they're traitors working with Russia when Hillary gets attacked?	How do I cure myopia naturally?	How do I cure my myopia naturally?
Can an obc get into an NIT (other state) with a rank of 280000-300000?	I am 24 working as an I.T professional from 7 months, I want to prepare for UPSC but fear of not having backup. What should I do ,How should I start?	Does the Indian Hyundai i20 Elite and i20 active have rear fog lamps?	What is the possible average CPM for a general lifestyle website that has at least 30.000 pageviews per month?
How does an OTG cable work with iPad?	How can I use USB OTG on a Samsung Grand Prime?	What are some humorous interpretation monologues?	Where is the file manager for Moto G 2nd generation?
How do I send a private message to a Quora member?	How do I send a private message to a Quora member?	How do I send a private message to a Quora member?	How do I send a private message to a Quora member?
How do the coupon site 365dayscoupons.com work? What is their revenue model?	Has any Hindu player played in the Pakistani cricket team?	I have no programming background but would like to learn SAS. Any ideas that you can help me with?	How many Americans will move to Canada or any other country in a Donald Trump presidency?
How many James Bond movies are there?	How many James Bond movies are there?	Are China and the United States in a race for AI supremacy?	Is it ok for a girl to confess her feelings to a guy?
How long would it take to walk 1 meter if your body was roughly the size of an atom?	Is it just me or does it seem like white heterosexual men are often blamed for many of the world's troubles? Why?	What is a good solar panel installation provider near Angels Camp, California CA?	What is a good solar panel installation provider near Angels Camp, California CA?
How do investment bankers get paid, and how much?	How do investment bankers get paid, and how much?	What the factors on which velocity of seismic waves depend?	What beneficial or relaxing things can you do when you are tired during work or study?
Why do indians teach their children 'it's okay to be ungrateful to Muslims' despite receiving billions and billions of dollars from Muslim countries?	My Google Chrome keeps crashing/keeps freezing so much. How I do fix it?	My Google Chrome keeps crashing/keeps freezing so much. How I do fix it?	Is Obama really going to give away control of the internet? How and why is this a good idea? Won't this threaten free speech?
What is the best way to react to someone who you think is not treating you as a person?	What is the reason behind human existence on earth?	Which were some of the bad experiences you had in life?	What can we learn from Life of Pi?
Does the height increase after the age of 20 in boys?	Does the height increase after the age of 20 in boys?	Does the height increase after the age of 20 in boys?	Is it possible to Increase height or get taller after 20?
What is the purpose of life according to YOU?	What is the purpose of life according to YOU?	What according to YOU is the purpose of life?	What is the purpose of life according to YOU?
What is a mora?	How do I login to Facebook?	What do creatives at Google do?	What is the song Hallelujah about?
How can I improve my pronunciation in English?	How can I improve my pronunciation in English?	How do I improve my pronunciation of English?	How can I improve my English pronunciation?
Why do people fall in love?	Why do people fall in love?	How do people fall out of love?	How do people fall in love AGAIN?
What is the difference between expert system and artificial intelligence?	What is the difference between expert system and artificial intelligence?	Can a convex mirror form a real image?	What are the free SEO tools available for analyzing websites?
What is the difference between art and music?	What is the difference between art and music?	What is the difference between art and music?	What is the difference between art and music?
What are some things new employees should know going into their first day at Verizon?	What are some things new employees should know going into their first day at Verizon?	What are some things new employees should know going into their first day at Medicines?	What are some things new employees should know going into their first day at Sprint?
Where can I found long-lasting fire shutters in Sydney?	Where can I found long-lasting fire shutters in Sydney?	Do girls think about the penis size?	Do irregular menstrual periods affect female fertility?
What is some famous flute music?	What is Uber's business model?	What are the best business models for podcasting?	How can one become a genius in physics?
What does the revenue-model of TripAdvisor look like?	How do I prepare for GK Section in XAT, CMAT, SNAP?	Which is the best treatment for psorisis?	Which is the best treatment for psorisis?
How do you think you can change your destiny?	How do you think you can change your destiny?	How do I make my mind stable?	How do I improve gaming skills?
Can you get rich from the stock market?	Can you get rich from the stock market?	What is the best way to earn money while doing nothing?	Which are the subsidiaries of RBI?
What are some things new employees should know going into their first day at Cyan?	What are some things new employees should know going into their first day at Cyan?	How is pre-popped (RTE) popcorn made and packaged?	What is the property called where two objects stick together because they are both very smooth?
What should I do to get rid of a bruise on my lip?	What should I do to get rid of a bruise on my lip?	Why should a boy love a girl?	How do I write my first nonfiction book?
How are radio waves produced? Can I make them at home?	What are some of the best photos taken from a cell phone?	What are some of the best photos taken from a cell phone?	What are some of the best photos taken from a cell phone?
What happened with the de Winters after Manderley was burned down to ashes?	Has anyone formed an intimate relationship with somebody that they met on Quora?	Has anyone formed an intimate relationship with somebody that they met on Quora?	What are good resources for .Net advanced concepts?
Which is your favorite book?	What 's your favorite book?	What 's your favorite book?	What are you favorite book?
What are the safety precautions on handling shotguns proposed by the NRA in Georgia?	What are the safety precautions on handling shotguns proposed by the NRA in Georgia?	What are the safety precautions on handling shotguns proposed by the NRA in Georgia?	What are the safety precautions on handling shotguns proposed by the NRA in Georgia?
What is the role of calcium in the human body?	Types of loads acting on building?	What does it feel like to be cooked in a microwave oven?	What does it feel like to be cooked in a microwave oven?
How can a supposedly loving God not want to heal his children in this temporary realm when they ask for it?	How can a supposedly loving God not want to heal his children in this temporary realm when they ask for it?	Are Asians victims of racism when they move to other countries?	Tech Events: What are some creative names for a technical fest (for an engineering college in India)?
What is SBI Magnum Balanced Fund? Is it safe to invest an amount of Rs 20 lakhs in it?	is a 54 inches vertical good for a 15 year old?	My lumia 720 camera lens is now not clear, after clicking pics, when I see it there will be blar pics how to solve that problem?	What is average sale made online by stand alone website?
What are the best kept secrets of business schools?	What are the key skills an aspiring politician must develop?	What is the sexual secret that you can't share with anyone but anonymously?	How do I write a cover letter for internship?
Is Climate change real?	Is climate change real?	What would Donald Trump replace Obamacare with?	What is the ultimate motive behind life?
What universities does Universal American recruit new grads from? What majors are they looking for?	What universities does Universal American recruit new grads from? What majors are they looking for?	What universities does Universal American recruit new grads from? What majors are they looking for?	What universities does Intuit recruit new grads from? What majors are they looking for?
How can I develop firm butts like some men? Is there any workout for that?	What is the actual use of graphic cards in laptops?	What is the best way of marketing for an android game?	What is the sweetest thing that your girlfriend has done for you?
Is it possible to dilate the anus?	Is Neverland technically an alien planet?	Can I change my custom URL on YouTube after I've already done so once?	To what extent was Xu Huang affected by the "7 deadly sins"?
How is the average package Goa institute of management?	What happens when Google Play Games level increases?	In python coding, what does "int" do and how do I use it in my coding?	Where can I watch English-dubbed episodes of Fate/Stay Night?
Is Aam Aadmi party winning in Punjab?	How can I get my employee discount for shopping on Amazon?	What course in university that you thought was easy turned out to be very hard?	What are the tips to crack an interview after a long gap?
How do I stop eating late at night?	How do money and fame change people?	Is there any way I can train myself to cultivate interest or develop passion for programming?	Is there any way I can train myself to cultivate interest or develop passion for programming?
What is your favorite genre of music and why?	What is your favorite genre of music and why?	What is your favorite genre of music and why?	What is your favorite music genre and why?
What are good ideas to help fall asleep quickly?	What are good ideas to help fall asleep quickly?	Why do people have really good ideas in the shower?	Why do people have really good ideas in the shower?
I'm 18. How can I make money online?	I'm 18. How can I make money online?	I'm 18. How can I make money online?	I'm 18. How can I make money online?
How can I get free traffic for my teespring campaign?	Which is the best website to download Hollywood Hindi dubbed movies in HD?	How can I view others' LinkedIn profile without them knowing?	How can I view others' LinkedIn profile without them knowing?
Does TCS hire in Australia?	How TCS validate the UK visa eligibility?	What would happen if there was a zombie virus on the death star?	Why are men's and women's zipper slides on opposite sides?
Why do some people find it difficult to maintain eye contact when speaking with another person?	My crush knows I like him but we don't talk. What would he think if he sees me getting close/near him?	How is the chemical formula for sodium hypoiodite determined?	Has anyone been in space and actually gone into or near a black hole?
What happened to Chandler in Friends' 7th season that made him look so different?	What happened to Chandler in Friends' 7th season that made him look so different?	What happened to Chandler in Friends' 7th season that made him look so different?	What does it mean when someone dreams about someone being pregnant? Does this mean someone is going to be pregnant?
How can I overcome an irrational fear of rodents?	How can I overcome an irrational fear of rodents?	How can I overcome an irrational fear of rodents?	For human resource managers, Is designation a substitute to compensation?
How can I know who is hocking my ipone?	Me and one of my former exes had a dream about each other on the same night?	Do most Israelis favor settlement expansion in the West Bank?	How can I serve intelligence agencies studying science?
How can one tell mattress pads apart from memory foam?	How can one tell mattress pads apart from memory foam?	What is the best season of American Horror Story?	What is the math behind virtual reality?
What the difference between western culture and Chinese culture?	What is the difference between Chinese culture and Western culture?	What is the difference between Chinese culture and Western culture?	What is the difference between Chinese and western culture?
How much would a Maruti Swift cost in Hyderabad?	Who are good personal injury attorneys in Queens? What were your experiences with them?	Most painful way to die?	Most painful way to die?
How is a new Quora user supposed to know that their browsing activity is public to other users?	Could there be a negative correlation between grades in college and success in life as an entrepreneur?	How can bed bugs make you sick and how can we get rid of them?	What are the tips for long and healthy hair?
Would highschool girls be allowed to bath at a summer camp or only shower?	Would highschool girls be allowed to bath at a summer camp or only shower?	Islam: Islam forbids Muslim women from marrying non-muslims, but Muslim men may marry any woman who follows a unitarian or monotheistic religion.  Why?	Islam: Islam forbids Muslim women from marrying non-muslims, but Muslim men may marry any woman who follows a unitarian or monotheistic religion.  Why?
Why do we believe?	Why do we believe?	Why we don't believe in ourselves?	Why should you believe in yourself?
Who supplies all the arms and ammunitions to the insurgents in North-East India?	Are you looking for the best website designing company in Delhi?	Are you looking for the best website designing company in Delhi?	Are you looking for the best website designing company in Delhi?
How can I Increase the traffic of my blog?	How do I increase traffic on my blog?	How can I increase traffic on my blog?	How can I Increase the traffic of my blog?
What is the best weapon in a zombie apocalypse (think about ammo)?	What is the best weapon in a zombie apocalypse (think about ammo)?	What is the best weapon in a zombie apocalypse (think about ammo)?	What are some of the ways to get funding for Master's in U.S?
Development Practice: Have you ever worked on a successful education project in rural South Asia? What made it successful?	What would cause a person that hasn't done drugs at all to show a positive for P2P and are there any food that would cause a false positive?	As a Canadian citizen (dual-citizen), am I allowed to enter Canada on a foreign passport?	How can I apply for a passport for my wife? She was earlier in Rajasthan and now she is with me Gujarat. What documents will it require?
How can I get rid of acne and its effect?	How can I get rid of acne and its effect?	How can I get rid of acne and its effect?	How can I get rid of acne and its effect?
How do I talk to my old friend?	How do I talk to my old friend?	How do I talk to an old friend?	How do I talk to my old friend?
What will happen after India gives Kashmir to Pakistan?	Which are good Github project where novice programmer can contribute?	Which are good Github project where novice programmer can contribute?	Why has not any Indian Mathematician won a Fields Medal?
I'm 13, 5 ft 7 and I weigh 53kg (116#) am I overweight?	Does Tesla Motors sponsor H1B visas?	Do girls who have no father figure growing up, develop psychological issues?	What is crateria for ebc1 and bc2 in obc catogries?
How do I fix my sleep cycle?	Is there a way to learn programming language quickly? How can I do it?	Is there a way to learn programming language quickly? How can I do it?	Is there a way to learn programming language quickly? How can I do it?
I have a crush, he used to look at me and try to talk to me, then he started avoiding me. Did he give up on me or does he just not like me anymore?	How can you recover disabled accounts for Facebook?	Why do I care so much for a guy who doesn't care about me?	Need to explore some new music genres, any suggestions?
What are some organizations that help poor students in India?	What are some organizations that help poor students in India?	What are some organizations that help poor students in India?	What are some organizations that help poor students in India?
What are the different student clubs at NITK, and what are the selection criteria to get into the club?	What is the IQ of US President-Elect Donald Trump?	I see a lot of potential in someone. Should I help them harness it?	What exactly happens to the human body upon impact when a plane hits the ground?
How do I tweak a wordpress site to be compatible with the Internet Explorer Browser?	How many calories does walking for an hour/per hour burn?	As a US citizen, how can I assist in the repealing of the 2nd Amendment (gun rights)?	What is the full name of the reagent named DEAD in organic chemistry?
